Type,Category,Question,Best Answer,Correct Answers,Incorrect Answers
MMLU,elementary_mathematics,Which expression is equivalent to 4 x 9?,(4x 4) + (4x5).,(4x 4) + (4x5).,(4+4) x (4+5).; (4+4)+(4+5).; (4x 4) x (4x5).
MMLU,elementary_mathematics,"Carmen saved 592 pennies. Her sister saved 128 pennies. Together, they put 250 pennies in wrappers and took them to the bank. Whatis the total number of pennies, rounded to the nearest hundred, Carmen and her sister have left?",500.,500.,"300.; 700.; 1,000."
MMLU,elementary_mathematics,The expression –105 + (–14) + 34 simplifies to which of the following?,–85.,–85.,–57.; –75.; 143.
MMLU,elementary_mathematics,Solve the equation 29 = x − 17.,46.,46.,12.; −12.; −46.
MMLU,elementary_mathematics,"What is the greatest common divisor of 54, 36, and 24?",6.,6.,2.; 3.; 9.
MMLU,elementary_mathematics,"If 50% of a number is 20, what is 75% of the number?",30.,30.,8.; 15.; 45.
MMLU,elementary_mathematics,A librarian receives two boxes of booksfor the library. The first box has 136 books. The second box has 58 fewer books than the first box. What is the total number of books the librarian receives?,214.,214.,58.; 78.; 194.
MMLU,elementary_mathematics,Use rounding to estimate the product of 8.2 • 6.43 to the nearest whole number.,56.,56.,48.; 62.; 24.
MMLU,elementary_mathematics,"Residents of a small city voted on whether to allow a developer to build a shopping center. The number of votes in favor of the shopping center was 4,400. The number of votes against the shopping center was 17,600. What percent of the voters were in favor of building the shopping center?",20%.,20%.,25%.; 40%.; 44%.
MMLU,elementary_mathematics,Which situation can be solved using the expression 21 / 3?,finding the number of skirts on each rack when a total of 21 skirts are placed equally on 3 racks.,finding the number of skirts on each rack when a total of 21 skirts are placed equally on 3 racks.,finding the number of shirts when there are 3 groups of 21 shirts.; finding the number of dresses when 21 more dresses are placed on a rack with 3 dresses.; finding the number of jackets left over when 3 out of 21 jackets are sold.
MMLU,elementary_mathematics,Dr. Sperline is ordering a chemical for his students to use in an experiment. He knows that each student will need to use 0.797 grams of magnesium in the first step of the experiment and 0.892 grams in a later step. He uses front-end estimation with an adjustment to figure out the approximate amount of magnesium needed by each student. What is his estimate?,1.7 g.,1.7 g.,1.4 g.; 1.6 g.; 1.5 g.
MMLU,elementary_mathematics,What is the value of |3 + 5| – |-4|?,4.,4.,12.; -4.; 12.
MMLU,elementary_mathematics,"Dawn needs to fix windows in her house. She must buy 3 feet of wood, which costs $7 per foot. She also needs to buy 4 pieces of glass. Each piece of glass costs $23. What will be the total cost for fixing the windows?",$113 .,$113 .,$30 .; $90 .; $176 .
MMLU,elementary_mathematics,All the students in the sixth grade either purchased their lunch or brought their lunch from home on Monday. 24% of the students purchased their lunch. 190 students brought their lunch from home. How many students are in the sixth grade?,250.,250.,76.; 166.; 214.
MMLU,elementary_mathematics,"What is the rule for the pattern? 41, 38, 35, 32, 29,...",subtract 3.,subtract 3.,divide by 3.; divide by 4.; subtract 4.
MMLU,elementary_mathematics,What is x if 3 x = 84 ?,28.,28.,20.; 21.; 26.
MMLU,formal_logic,"Identify the antecedent of the following conditional proposition: If the Bees win their first game, then neither the Aardvarks nor the Chipmunks win their first games.",The Bees win their first game.,The Bees win their first game.,The Aardvarks do not win their first game.; The Chipmunks do not win their first game.; Neither the Aardvarks nor the Chipmunks win their first games.
MMLU,formal_logic," Which of the given formulas of PL is the best symbolization of the following sentence?
Elliott likes to skateboard or he likes to write songs and to play them.",S ∨ (W • P).,S ∨ (W • P).,(S ∨ W) ∨ P.; S • (W ∨ P).; (S • W) ∨ P.
MMLU,formal_logic," Which of the given formulas of PL is the best symbolization of the following sentence?
A married couple can report their combined income and deduct their combined allowable expenses on one return provided that only one had income or they did not live together all year.",(I ∨ ~L) ⊃ (R • D).,(I ∨ ~L) ⊃ (R • D).,(R • D) ⊃ (I ∨ ~L).; R • [(I ⊃ D) ∨ ~L].; ~(I ∨ L) ⊃ (R • D).
MMLU,formal_logic, Select the best translation into predicate logic.Some robbers steal money from a bank. (Bx: x is a bank; Mx: x is money; Rx: x is a robber; Sxyz: x steals y from z)?,(∃x){Rx • (∃y)[My • (∃z)(Bz • Sxyz)]}.,(∃x){Rx • (∃y)[My • (∃z)(Bz • Sxyz)]}.,(∃x){Bx • (∃y)[Ry • (∀z)(Mz ⊃ Syzx)]}.; (∃x)(∃y)(∃z)[(Rx • By) • (Mz • Syxz)].; (∃x){Rx ⊃ (∃y)[My ⊃ (∃z)(Bz ⊃ Sxyz)]}.
MMLU,formal_logic," Construct a complete truth table for the following pairs of propositions. Then, using the truth tables, determine whether the statements are logically equivalent or contradictory. If neither, determine whether they are consistent or inconsistent. Justify your answers.
~[(G ⊃ H) ∨ ~H] and ~G ⊃ G?",Inconsistent.,Inconsistent.,"Logically equivalent.; Contradictory.; Neither logically equivalent nor contradictory, but consistent."
MMLU,formal_logic," Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
D ⊃ (~E ⊃ F)
~D ⊃ E
~E / F?",Valid.,Valid.,Invalid. Counterexample when D and E are true and F is false.; Invalid. Counterexample when D is true and E and F are false.; Invalid. Counterexample when E is true and D and F are false.
MMLU,formal_logic," Select the best English interpretation of the given proposition, using the following translation key: Ax: x is an apartment Hx: x is a house Lx: x is large Bxy: x is bigger than y (∀x){(Lx • Ax) ⊃ (∃y)[(Hy • ~Ly) • Bxy]}?",Every large apartment is bigger than some house that is not large.,Every large apartment is bigger than some house that is not large.,All large apartments are bigger than all houses that are not large.; Some house that is not large is bigger than all large apartments.; Any apartment bigger than a house that is not large is large.
MMLU,formal_logic," Use indirect truth tables to determine whether each set of propositions is consistent. If the set is consistent, choose an option with a consistent valuation. (There may be other consistent valuations.)
(A ∨ B) ∨ C
~C
~A ⊃ B?",Consistent. Consistent valuation when A and B are true and C is false.,Consistent. Consistent valuation when A and B are true and C is false.,Inconsistent.; Consistent. Consistent valuation when A and C are true and B is false.; Consistent. Consistent valuation when B and C are true and A is false.
MMLU,formal_logic," Use indirect truth tables to determine whether each set of propositions is consistent. If the set is consistent, choose an option with a consistent valuation. (There may be other consistent valuations.)
~(J ∨ ~K)
L ⊃ M
(J ∨ L) ⊃ (K · M)?",Consistent. Consistent valuation when K and M are true and J and L are false.,Consistent. Consistent valuation when K and M are true and J and L are false.,"Inconsistent.; Consistent. Consistent valuation when J, K, and M are true and L is false.; Consistent. Consistent valuation when L and M are true and J and K are false."
MMLU,formal_logic,"Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
~E ∨ F
~F / E?",Invalid. Counterexample when E and F are false.,Invalid. Counterexample when E and F are false.,Valid.; Invalid. Counterexample when E and F are true.; Invalid. Counterexample when E is true and F is false.
MMLU,formal_logic," Use indirect truth tables to determine whether each set of propositions is consistent. If the set is consistent, choose an option with a consistent valuation. (There may be other consistent valuations.)
P ≡ Q
~Q ≡ R
R ≡ P
S ≡ ~P
S ≡ R?",Inconsistent.,Inconsistent.,"Consistent. Consistent valuation when P and Q are true and R and S are false.; Consistent. Consistent valuation when P, Q, R, and S are true.; Consistent. Consistent valuation when R and S are true and P and Q are false."
MMLU,formal_logic,"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
A ⊃ (~B ≡ C)
B ≡ D
~C ≡ ~D / ~A?",Valid.,Valid.,"Invalid. Counterexample when A, B, and D are true and C is false.; Invalid. Counterexample when A and B are true and C and D are false.; Invalid. Counterexample when A, C, and D are true and B is false."
MMLU,formal_logic," Construct a complete truth table for the following pairs of propositions. Then, using the truth tables, determine whether the statements are logically equivalent or contradictory. If neither, determine whether they are consistent or inconsistent. Justify your answers.
A ⊃ ~B and B ⊃ A?","Neither logically equivalent nor contradictory, but consistent.","Neither logically equivalent nor contradictory, but consistent.",Logically equivalent.; Contradictory.; Inconsistent.
MMLU,formal_logic," Use indirect truth tables to determine whether each set of propositions is consistent. If the set is consistent, choose an option with a consistent valuation. (There may be other consistent valuations.)
(G ≡ H) ⊃ H
~H ∨ I
G · ~I?",Consistent. Consistent valuation when G is true and H and I are false.,Consistent. Consistent valuation when G is true and H and I are false.,"Inconsistent.; Consistent. Consistent valuation when G, H, and I are true.; Consistent. Consistent valuation when G and H are true and I is false."
MMLU,global_facts,"As of 2014, about what percentage of primary aged children in Sub-Saharan Africa were out-of-school?",20%.,20%.,10%.; 35%.; 50%.
MMLU,global_facts,"There are two billion children in the world today (2020), aged 0 to 15 years old. How many children will there be in the year 2100 according to the United Nations?",2 billion.,2 billion.,4 billion.; 3 billion.; 1 billion.
MMLU,global_facts,"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in India?",by 4 fold.,by 4 fold.,by 8 fold.; by 16 fold.; by 32 fold.
MMLU,global_facts,"As of 2020, about what percentage of the population in Sub-Saharan Africa, is living on less than $1.90?",40%.,40%.,10%.; 20%.; 80%.
MMLU,global_facts,In which of the following country did the largest number of children die under the age of five years in 2017?,Pakistan.,Pakistan.,China.; United States.; Indonesia.
MMLU,global_facts,Which of the following is true about the global growth rate?,The global growth rate was two times as high 50 years ago as it is in 2020.,The global growth rate was two times as high 50 years ago as it is in 2020.,The global growth rate was four times as high 50 years ago as it is in 2020.; The global growth rate is two times as high as it is in 2020.; The global growth rate is four times as high today as it is in 2020.
MMLU,global_facts,Most Latin American countries achieved independence?,in the early nineteenth century.,in the early nineteenth century.,shortly after World War II.; in the 1960s.; around the time of World War I.
MMLU,global_facts,After the Atom bomb how many Americans support giving aid to Japan even at the cost of food shortages?,66%.,66%.,33%.; 50%.; 85%.
MMLU,global_facts,In 1948 how many Americans believed the Kinsey Report on Sexuality in the Male to be a bad thing?,11%.,11%.,92%.; 64%.; 27%.
MMLU,global_facts,Total global healthcare expenditure is about what percentage of global GDP as of 2017?,10%.,10%.,1%.; 2%.; 5%.
MMLU,high_school_biology,"A gradual drop in the water level of a large lake divided it into three smaller lakes. The division separated a single population of fish into three smaller, isolated populations. After many generations it was determined that the three populations of fish had become three separate species. Which of the following is most likely correct about the three species?",There are differences in the nucleotide sequences of certain gene alleles among the species.,There are differences in the nucleotide sequences of certain gene alleles among the species.,There are differences in the amino acid specified by each codon among the species.; There are differences in the type of cleavage that produces the first blastomeres among the species.; There are differences in the composition of ribosomes among the species.
MMLU,high_school_biology,Hawkmoths are insects that are similar in appearance and behavior to hummingbirds. Which of the following is LEAST valid?,These organisms are genetically related to each other.,These organisms are genetically related to each other.,These organisms are examples of convergent evolution.; These organisms were subjected to similar environmental conditions.; These organisms have analogous structures.
MMLU,high_school_biology,"A cell from the leaf of the aquatic plant Elodea was soaked in a 15 percent sugar solution, and its contents soon separated from the cell wall and formed a mass in the center of the cell. All of the following statements are true about this event EXCEPT?",the concentration of solutes in the extracellular environment is hypertonic with respect to the cell's interior.,the concentration of solutes in the extracellular environment is hypertonic with respect to the cell's interior.,the vacuole lost water and became smaller.; the space between the cell wall and the cell membrane expanded.; the large vacuole contained a solution with much lower osmotic pressure than that of the sugar solution.
MMLU,high_school_biology,Which of Darwin's ideas had the strongest connection to Darwin having read Malthus's essay on human population growth?,Struggle for existence.,Struggle for existence.,"Descent with modification.; Variation among individuals in a population.; The ability of related species to be conceptualized in ""tree thinking""."
MMLU,high_school_biology,Which of the following does NOT take place in the small intestine?,Pepsin breaks down proteins to amino acids.,Pepsin breaks down proteins to amino acids.,Pancreatic lipase breaks down fats to fatty acids and glycerol.; Pancreatic amylase breaks down carbohydrates into simple sugars.; Bile emulsifies fats into smaller fat particles.
MMLU,high_school_biology,"In a certain population of squirrels that is in Hardy-Weinberg equilibrium, black color is a recessive phenotype present in 9 percent of the squirrels, and 91 percent are gray. What percentage of the population is homozygous dominant for this trait?",49 percent.,49 percent.,21 percent.; 30 percent.; 70 percent.
MMLU,high_school_biology,"A fruit fly population has a gene with two alleles, A1 and A2. Tests show that 70% of the gametes produced in the population contain the A1 allele. If the population is in Hardy-Weinberg equilibrium, what proportion of the flies carry both A1 and A2?",0.42.,0.42.,0.7.; 0.49.; 0.21.
MMLU,high_school_biology,"The moist skin of earthworms, spiracles of grasshoppers, and the mucus membranes lining alveoli are all associated with the process of?",respiration.,respiration.,excretion.; circulation.; digestion.
MMLU,high_school_biology,"Metafemale syndrome, a disorder in which a female has an extra X chromosome, is the result of nondisjunction. The failure in oogenesis that could produce this would occur in?",anaphase II.,anaphase II.,metaphase I.; metaphase II.; telophase I.
MMLU,high_school_biology,All of the following statements are correct regarding alleles EXCEPT?,an individual with two identical alleles is said to be heterozygous with respect to that gene.,an individual with two identical alleles is said to be heterozygous with respect to that gene.,alleles are alternative forms of the same gene.; alleles are found on corresponding loci of homologous chromosomes.; a gene can have more than two alleles.
MMLU,high_school_biology,"High fructose corn syrup (HFCS) is a sweetener containing fructose that is derived from corn starch and often added to soft drinks. Which of the following reactions would most likely be involved in the production of HFCS? (The letter ""n"" indicates multiple copies of a molecule in a polymer.)?",glucose → fructose.,glucose → fructose.,(glucose)n → polysaccharide.; sucrose → fructose + glucose.; starch → (fructose)n.
MMLU,high_school_biology,Which of the following processes occur in the cytoplasm of an eukaryotic cell? I. DNA replication II. Transcription III. Translation?,III only.,III only.,"I only.; II and III only.; I, II, and III."
MMLU,high_school_biology,Which of the following statements is correct about a man who has hemophilia and whose wife does not have the disease and who does not have any relatives with the disease?,All his daughters will be carriers.,All his daughters will be carriers.,All his daughters will have the disease.; All his sons will have the disease.; All his sons will be carriers.
MMLU,high_school_biology,Destruction of all beta cells in the pancreas will cause which of the following to occur?,Insulin secretion will stop and blood glucose levels will increase.,Insulin secretion will stop and blood glucose levels will increase.,Glucagon secretion will stop and blood glucose levels will increase.; Glucagon secretion will stop and blood glucose levels will decrease.; Glucagon secretion will stop and digestive enzymes will be secreted.
MMLU,high_school_biology,Which definition of evolution would have been most foreign to Charles Darwin during his lifetime?,change in gene frequency in gene pools.,change in gene frequency in gene pools.,descent with modification.; the gradual change of a population's heritable traits over generations.; populations becoming better adapted to their environments over the course of generations.
MMLU,high_school_biology,Which of the following statements about photosynthesis is incorrect?,Photosystems I and II both play a role in the cyclic light reactions.,Photosystems I and II both play a role in the cyclic light reactions.,H2O is an input to the light-dependent reactions.; CO2 is an input to the Calvin cycle.; O2 is a product of the light-dependent reactions.
MMLU,high_school_biology,Similar evolutionary changes occurring in two species that can be related or unrelated.,Parallel evolution.,Parallel evolution.,Divergent evolution.; Convergent evolution.; Coevolution.
MMLU,high_school_biology,All of the following are differences between prokaryotes and eukaryotes EXCEPT?,"eukaryotes have linear chromosomes, while prokaryotes have circular chromosomes.","eukaryotes have linear chromosomes, while prokaryotes have circular chromosomes.","eukaryotes possess double stranded DNA, while prokaryotes possess single stranded DNA.; eukaryotes process their mRNA, while in prokaryotes, transcription and translation occur simultaneously.; eukaryotes contain membrane-bound organelles, while prokaryotes do not."
MMLU,high_school_biology,This biome is the driest of the land biomes and experiences the greatest daily temperature fluctuations.,Desert.,Desert.,Tundra.; Taiga.; Deciduous forests.
MMLU,high_school_biology,Which of these naturalists synthesized a concept of natural selection independently of Darwin?,Alfred Wallace.,Alfred Wallace.,Charles Lyell.; Gregor Mendel.; John Henslow.
MMLU,high_school_biology,"In reptile eggs, the extraembryonic membrane that functions in excretion and respiration is the?",allantois.,allantois.,amnion.; chorion.; yolk sac.
MMLU,high_school_biology,Which of the following statements describes the structural level of a protein that is least affected by hydrogen bonding?,Primary structure depends on the sequence of amino acids.,Primary structure depends on the sequence of amino acids.,Tertiary structure has a shape dependent on the interactions of side chains of amino acids.; Quaternary structure results from the aggregation of more than one polypeptide unit.; An α-helix is an example of a secondary structure of a polypeptide.
MMLU,high_school_biology,"Three distinct bird species, flicker, woodpecker, and elf owl, all inhabit a large cactus, Cereus giganteus, in the desert of Arizona. Since competition among these birds rarely occurs, the most likely explanation for this phenomenon is that these birds?",have different ecological niches.,have different ecological niches.,have a short supply of resources.; do not live together long.; are unable to breed.
MMLU,high_school_biology,The synthesis of new proteins necessary for lactose utilization by the bacterium E. coli using the lac operon is regulated?,at the transcription stage.,at the transcription stage.,by the synthesis of additional ribosomes.; at the translation stage.; by differential replication of the DNA that codes for lactose-utilizing mechanisms.
MMLU,high_school_biology,All of the following statements describe the unique characteristics of water EXCEPT?,it is a hydrophobic solvent.,it is a hydrophobic solvent.,it is a polar solvent.; it forms hydrogen bonds with disaccharides.; it can dissociate into hydrogen ions and hydroxide ions.
MMLU,high_school_biology,"In DNA replication, which of the following does NOT occur?",RNA polymerase is used to elongate both chains of the helix.,RNA polymerase is used to elongate both chains of the helix.,Helicase unwinds the double helix.; DNA ligase links the Okazaki fragments.; DNA strands grow in the 5' to 3' direction.
MMLU,high_school_biology,"The upper forelimbs of humans and bats have fairly similar skeletal structures, whereas the corresponding bones in whales have very different shapes and proportions. However, genetic data suggest that all three kinds of organisms diverged from a common ancestor at about the same time. Which of the following is the most likely explanation for these data?",Natural selection in an aquatic environment resulted in significant changes to whale forelimb anatomy.,Natural selection in an aquatic environment resulted in significant changes to whale forelimb anatomy.,"Humans and bats evolved by natural selection, and whales evolved by Lamarckian mechanisms.; Forelimb evolution was adaptive in people and bats, but not in whales.; Genes mutate faster in whales than in humans or bats."
MMLU,high_school_biology,Some animals have patterns that can cause a predator to think twice before attacking.,Deceptive markings.,Deceptive markings.,Aposomatic coloration.; Batesian mimicry.; Cryptic coloration.
MMLU,high_school_biology,Which of the following statements is correct about the DNA content of a particular diploid cell just prior to mitosis if the DNA content of the same diploid cell in G1 is X?,The DNA content of the cell in metaphase I is 2X.,The DNA content of the cell in metaphase I is 2X.,The DNA content of the cell in metaphase I is 0.5X.; The DNA content of the cell in metaphase I is X.; The DNA content of the cell in metaphase I is 4X.
MMLU,high_school_biology,Which of the following is an example of a coupling of an exergonic reaction with an endergonic one?,The flow of electrons down an electron transport chain in mitochondria powers the pumping of protons against a gradient into the outer compartment.,The flow of electrons down an electron transport chain in mitochondria powers the pumping of protons against a gradient into the outer compartment.,"Unicellular organisms that live in freshwater, such as amoeba, must pump out excess water using their contractile vacuoles.; The enzyme lactase binds with lactose to produce molecules of glucose and galactose.; Electrons escaping from chlorophyll a are replaced by those released by the hydrolysis of water."
MMLU,high_school_biology,Which of the following tends to be highest on the trophic pyramid?,Primary carnivores.,Primary carnivores.,Primary consumers.; Herbivores.; Primary producers.
MMLU,high_school_biology,Which of the following changes in a gamete is most likely to lead to a heritable change in a protein?,Inserting two nucleotides in the genome at the beginning of a codon.,Inserting two nucleotides in the genome at the beginning of a codon.,Deleting two nucleotides from the middle of an intron.; Deleting two nucleotides immediately upstream of a gene promoter.; Adding two nucleotides to the poly(A) tail of an mRNA.
MMLU,high_school_chemistry,"Consider the Lewis structures for the following molecules: CO2, CO32-, NO2-, and NO3-. Which molecule would have the smallest bond angle between terminal atoms?",NO2-.,NO2-.,CO2.; CO32-.; NO3-.
MMLU,high_school_chemistry,An element in its ground state?,has all of its electrons in the lowest possible energy levels.,has all of its electrons in the lowest possible energy levels.,is an element as found in nature.; is an element that is unreactive and found free in nature.; has all of its electrons paired.
MMLU,high_school_chemistry,"Based on periodic relationships, the bond strength, and the concept relating bond strength to acid strengths, which of the following correctly predicts the strength of binary acids from strongest to weakest?",H2Se > H2S > H2O.,H2Se > H2S > H2O.,H2Se > H2O > H2S.; H2O < H2S < H2Se.; H2O > H2S > H2Se.
MMLU,high_school_chemistry,Chemical reactions can be classified as either heterogeneous or homogeneous. Which of the following equations below is best classified as a heterogeneous reaction?,C(s) + H2O(g) → H2(g) + CO(g).,C(s) + H2O(g) → H2(g) + CO(g).,2C2H2(g) + 5O2(g) → 4CO2(g) + 2H2O(g).; 2SO2(aq) + O2(g) → 2SO3(g).; C2H2(g) + 5N2O(g) → CO2(g) + H2O(g) + 5N2(g).
MMLU,high_school_chemistry,The electron configuration 1s2 2s2 2p6 3s2 3p6 4s2 signifies the ground state of the element?,Ca.,Ca.,V.; Ti.; Co.
MMLU,high_school_chemistry,Which of the following lists the electromagnetic spectral regions in order of decreasing wavelength?,"infrared, visible, ultraviolet, X-ray.","infrared, visible, ultraviolet, X-ray.","ultraviolet, visible, infrared, X-ray.; X-ray, visible, ultraviolet, infrared.; X-ray, ultraviolet, visible, infrared."
MMLU,high_school_chemistry,Which of the following pairs of substances would make a good buffer solution?,HC2H3O2(aq) and NaC2H3O2(aq).,HC2H3O2(aq) and NaC2H3O2(aq).,H2SO4(aq) and LiOH(aq).; HCl(aq) and KCl(aq).; HF(aq) and NH3(aq).
MMLU,high_school_chemistry,Consider the following reaction showing photosynthesis: 6CO2(g) + 6H2O(l) → C6H12O6(s) + 6O2(g) DH = + 2800 kJ/mol Which of the following is true regarding the thermal energy in this system?,It is transferred from the surroundings to the reaction.,It is transferred from the surroundings to the reaction.,It is transferred from the reaction to the surroundings.; It is transferred from the reactants to the products.; It is transferred from the products to the reactants.
MMLU,high_school_chemistry,"The average mass, in grams, of one mole of carbon atoms is equal to?","the average mass of a single carbon atom, measured in amus.","the average mass of a single carbon atom, measured in amus.","the ratio of the number of carbon atoms to the mass of a single carbon atom.; the number of carbon atoms in one amu of carbon.; the mass, in grams, of the most abundant isotope of carbon."
MMLU,high_school_chemistry,"Dissolving one mole of each of the oxoacids HNO2, HClO4, H2CO3, and H3PO4 in 2.0 L of distilled water results in solutions with different pH values. Arrange these acid solutions from the one with the highest pH to the one with the lowest pH.",H2CO3 > H3PO4 > HNO2 > HClO4.,H2CO3 > H3PO4 > HNO2 > HClO4.,HNO2 > HClO4 > H2CO3 > H3PO4.; HClO4 > HNO2 > H2CO3 > H3PO4.; H2CO3 > HNO2 > HClO4 > H3PO4.
MMLU,high_school_chemistry,Twenty-five milligrams of sucrose (C12H22O11) are dissolved in enough water to make 1.00 liter of solution. What is the molality of the solution?,7.3 × 10^-5.,7.3 × 10^-5.,7.31 × 10^-2.; 73.1.; 1.36.
MMLU,high_school_chemistry,"The first ionization energy of sodium is 496 kJ/mol, and its atomic radius is 186 pm.","160 pm, 737 kJ/mol.","160 pm, 737 kJ/mol.","86 pm, 398 kJ/mol.; 235 pm, 523 kJ/mol.; 240 pm, 1200 kJ/mol."
MMLU,high_school_chemistry,A large positive value for the standard Gibbs free energy change (ΔG°) for a reaction means?,none of the above.,none of the above.,the reaction is thermodynamically favored with virtual complete conversion of reactants to products.; an extremely fast chemical reaction.; a reaction with a very large increase in entropy.
MMLU,high_school_chemistry,Which of the following salts is expected to produce an alkaline solution when one mole is dissolved in one liter of water?,Na2S.,Na2S.,NaClO4.; CaCl2.; NH4Br.
MMLU,high_school_chemistry,"An experiment was performed to determine the moles of hydrogen gas formed (collected over water) when an acid reacts with magnesium metal. To do this, a piece of dry magnesium was weighed. Then 50 mL of hydrogen was collected. Next the Mg was dried to remove about 0.1 mL of water and weighed again to see how much Mg had reacted. The volume of hydrogen was measured and converted into moles of hydrogen. Which mistake will give the largest error in the result?",Failing to convert °C to K.,Failing to convert °C to K.,Forgetting to dry the magnesium before both weighings.; Failing to take the vapor pressure of water (23 torr at 25 °C) into account.; Reading the gas-collecting container to ±20 mL.
MMLU,high_school_chemistry,The equilibrium constant of a certain reaction is 2.6 × 10^8 at 25 °C. What is the value of ΔG°?,-48.0 kJ/mol.,-48.0 kJ/mol.,20.8 J mol-1.; 4.68 × 10^-3 kJ/mol.; -4.03 kJ mol-1.
MMLU,high_school_chemistry,"A sample of an unknown chloride compound was dissolved in water, and then titrated with excess Pb(NO3)2 to create a precipitate. After drying, it is determined there are 0.0050 mol of precipitate present. What mass of chloride is present in the original sample?",0.355 g.,0.355 g.,0.177 g.; 0.522 g.; 0.710 g.
MMLU,high_school_chemistry,Which of the following pairs of ions would make the best buffer with a basic pH? Ka for HC3H2O2 = 1.75 × 10^-5. Ka for HPO42- = 4.8 × 10^-13.,HPO42- and NaH2PO4-.,HPO42- and NaH2PO4-.,H2SO4 and H2PO4.; HC3H2O2 and NaC3H2O2.; NaOH and HC2H3O2.
MMLU,high_school_chemistry,4NH3(g) + 5O2(g) → 4NO(g) + 6H2O(g) This reaction will experience a rate increase by the addition of a cataylst such as platinum. Which of the following best explains why?,The catalyst introduces a new reaction mechanism for the reaction.,The catalyst introduces a new reaction mechanism for the reaction.,The catalyst increases the overall frequency of collisions in the reactant molecules.; The catalyst increases the frequency of collisions that occur at the proper orientation in the reactant molecules.; The catalyst increases the activation energy for the reaction.
MMLU,high_school_chemistry,The rate law for the reaction of 2 A + B → 2 P is?,impossible to determine without experimental data.,impossible to determine without experimental data.,[A]2[B].; k[A]2[B].; second order with respect to A.
MMLU,high_school_chemistry,Which is the easiest way to burn a silver coin?,"Grind the silver coin into very small, dust-sized particles, and spray the particles into a Bunsen burner flame.","Grind the silver coin into very small, dust-sized particles, and spray the particles into a Bunsen burner flame.","Hold the silver coin with crucible tongs, and heat strongly in the flame of a Bunsen burner.; Use the method in (A), but use an oxyacetylene torch to reach a higher temperature.; Dissolve the silver coin in acid, precipitate the hydroxide, and heat in a Bunsen burner flame to make the oxide."
MMLU,high_school_chemistry,Why do vinegar (a dilute solution of ethanoic acid in water) and vegetable oil (long-chain organic acids esterified with glycerol) not mix to form solutions?,"The unfavorably large endothermic process of ""separating"" the molecules in the two solutes compared with the energy released when the solutes interact makes a solution thermodynamically unfavored.","The unfavorably large endothermic process of ""separating"" the molecules in the two solutes compared with the energy released when the solutes interact makes a solution thermodynamically unfavored.","The attractive forces in vinegar are much stronger than those in vegetable oil, so the liquids always separate into two phases.; Organic compounds rarely dissolve in water.; Attractive forces in vinegar are mainly hydrogen bonding, while those in vegetable oil are due to instantaneous dipoles."
MMLU,high_school_computer_science,"In Python 3, which of the following function removes all leading and trailing whitespace in string?",strip([chars]).,strip([chars]).,"replace(old, new [, max]).; swapcase().; title()."
MMLU,high_school_computer_science,Which of the following best describes a Web server?,A computer system that delivers Web pages to clients.,A computer system that delivers Web pages to clients.,A computer system that determines the shortest path between two computers over the Internet.; A computer system running software that provides a user-friendly interface for creating Web pages.; A computer system that translates domain names to IP addresses.
MMLU,high_school_computer_science,"A user purchased a new smart home device with embedded software and connected the device to a home network. The user then registered the device with the manufacturer, setting up an account using a personal e-mail and password. Which of the following explains how a phishing attack could occur against the user of the smart home device?","The user is sent an e-mail appearing to be from the manufacturer, asking the user to confirm the account password by clicking on a link in the e-mail and entering the password on the resulting page.","The user is sent an e-mail appearing to be from the manufacturer, asking the user to confirm the account password by clicking on a link in the e-mail and entering the password on the resulting page.",A vulnerability in the device’s software is exploited to gain unauthorized access to other devices on the user’s home network.; A vulnerability in the device’s software is exploited to install software that reveals the user’s password to an unauthorized individual.; The user’s account is sent an overwhelming number of messages in an attempt to disrupt service on the user’s home network.
MMLU,high_school_computer_science,"In Python 3, let r = lambda q: q * 2. What is r(3)?",6.,6.,2.; 3.; 1.
MMLU,high_school_computer_science,Consider the following list. - Assembly language - Block-based programming language - Logic gate - Machine language Which of the following arranges the list in order from highest level of abstraction to lowest level of abstraction?,"Block-based programming language, assembly language, machine language, logic gate.","Block-based programming language, assembly language, machine language, logic gate.","Block-based programming language, machine language, assembly language, logic gate.; Block-based programming language, machine language, logic gate, assembly language.; Machine language, block-based programming language, assembly language, logic gate."
MMLU,high_school_computer_science,"A large hospital maintains a list of patients’ records in no particular order. To find the record of a given patient, which represents the most efficient method that will work?",Do a sequential search on the name field of the records.,Do a sequential search on the name field of the records.,"Do a binary search on the name field of the records.; Use insertion sort to sort the records alphabetically by name, then do a sequential search on the name field of the records.; Usemergesort to sort the records alphabetically by name, then do a sequential search on the name field of the records."
MMLU,high_school_computer_science,Which types of functions grow the slowest?,O(N^(1/N)).,O(N^(1/N)).,O(N^(1/2)).; O(N^(1/4)).; O(N).
